name,state,street,lon,lat,formatted,categories,min_fee
Angelica Desert Bar,Cairo,Street 9,31.26006,29.958034,"Angelica Desert Bar, Street 9, Ma‘di Al Khahiri, Cairo, 11728, Egypt","['catering', 'catering.restaurant']",0
Animalia,Aswan,Main Street,32.88823535,24.0894255,"Animalia, Main Street, Siou, 81529, Egypt","['building', 'building.tourism', 'entertainment', 'entertainment.museum']",0
Arabian Nights,Cairo,Al Aded Street,31.2672675,30.0486398,"Arabian Nights, 10 Al Aded Street, Islamic Cairo, Cairo, 11633, Egypt","['accommodation', 'accommodation.hotel']",0
Arabian Nights,Cairo,Al Aded Street,31.2672675,30.0486398,"Arabian Nights, 10 Al Aded Street, Islamic Cairo, Cairo, 11633, Egypt","['accommodation', 'accommodation.hotel']",0
Arby's,Cairo,Talaat Moustafa Road,31.61336757,30.10393215,"Arby's, Talaat Moustafa Road, Cairo, 19511, Egypt","['building', 'building.catering', 'catering', 'catering.fast_food']",0
Arena,Red Sea,Selena Bay road B,33.7117309,27.3191572,"Arena, Selena Bay road B, Al Ahia', 84509, Egypt","['catering', 'catering.restaurant']",0
Art al-lewa,Giza,Mohamed Ali Al Eisiry Street,31.1872587,30.0498157,"Art al-lewa, Mohamed Ali Al Eisiry Street, Meet Oqba, Giza, 13211, Egypt","['entertainment', 'entertainment.culture', 'entertainment.culture.arts_centre']",0
Art Cafe,Cairo,Street 13,31.2629305,29.9592952,"Art Cafe, Street 13, Ma‘di Al Khahiri, Cairo, 11431, Egypt","['catering', 'catering.cafe']",0
Art from People to People Foundation,Luxor,Tamthal Mamnoon Street,32.6246003,25.7149153,"Art from People to People Foundation, Tamthal Mamnoon Street, Al Baairat Village, 85958, Egypt","['entertainment', 'entertainment.museum']",0
Art from People to People Foundation,Luxor,Tamthal Mamnoon Street,32.6246003,25.7149153,"Art from People to People Foundation, Tamthal Mamnoon Street, Al Baairat Village, 85958, Egypt","['entertainment', 'entertainment.museum']",0
Ashri Toki,Aswan,loop from Nubialin,32.8915802,24.0907032,"Ashri Toki, loop from Nubialin, Koti, 81529, Egypt","['catering', 'catering.restaurant']",0
Asian Corner,Cairo,Street 18,31.2691283,29.9583195,"Asian Corner, Street 18, Cairo, 11431, Egypt","['catering', 'catering.restaurant', 'catering.restaurant.asian']",0
Asian Corner,Cairo,Al Asraa Street,31.3160378,29.9812374,"Asian Corner, Al Asraa Street, Cairo, 00007, Egypt","['catering', 'catering.restaurant', 'catering.restaurant.asian']",0
Aspero Restaurant,Giza,Al Nil Street,31.21815953,30.02610385,"Aspero Restaurant, 133 Al Nil Street, Dokki, Giza, 12513, Egypt","['building', 'building.catering', 'catering', 'catering.restaurant', 'catering.restaurant.american', 'halal', 'internet_access', 'vegan', 'vegetarian']",0
Aswan Moon,Aswan,Kornish Al Nile Street,32.8949146,24.0903101,"Aswan Moon, Kornish Al Nile Street, Abd Al Aazim Hassn, 81543, Egypt","['catering', 'catering.restaurant', 'catering.restaurant.regional', 'internet_access']",0
Aswan Museum,Aswan,loop from Nubialin,32.88704021,24.08501845,"Aswan Museum, loop from Nubialin, Koti, 81529, Egypt","['building', 'building.tourism', 'entertainment', 'entertainment.museum']",0
Aswan Plaza / Cilantro,Aswan,Kornish Al Nile Street,32.8983258,24.097358,"Aswan Plaza / Cilantro, Kornish Al Nile Street, Saleh Gahin, 81511, Egypt","['catering', 'catering.restaurant']",0
ATA BAZAR - Souvenirs for Fixed Price,Luxor,Maabad Luxor Street,32.6412313,25.7001398,"ATA BAZAR - Souvenirs for Fixed Price, Maabad Luxor Street, Luxor City, Luxor, 85951, Egypt","['commercial', 'commercial.gift_and_souvenir']",0
ATA BAZAR - Souvenirs for Fixed Price,Luxor,Maabad Luxor Street,32.6412313,25.7001398,"ATA BAZAR - Souvenirs for Fixed Price, Maabad Luxor Street, Luxor City, Luxor, 85951, Egypt","['commercial', 'commercial.gift_and_souvenir']",0
Atari Ps&Cafe,Suez,Naser Street,32.5255109,29.9691245,"Atari Ps&Cafe, Naser Street, Suez, 43515, Egypt","['catering', 'catering.cafe']",0
Atlantis,Cairo,Abd Al Aziz Al Seoud Street,31.2225413,30.0188759,"Atlantis, Abd Al Aziz Al Seoud Street, Al Manyal, Cairo, 11555, Egypt","['catering', 'catering.restaurant', 'catering.restaurant.seafood']",0
Atlantis,Cairo,Abd Al Aziz Al Seoud Street,31.22246505,30.01894785,"Atlantis, Abd Al Aziz Al Seoud Street, Al Manyal, Cairo, 11555, Egypt","['building', 'building.catering', 'catering', 'catering.restaurant', 'internet_access']",0
Atlantis Pyramids Inn,Giza,Bni Sofyan Street,31.1401736,29.9759431,"Atlantis Pyramids Inn, 4 Bni Sofyan Street, Kom al Akhdar, Giza, 12557, Egypt","['accommodation', 'accommodation.hotel', 'internet_access']",0
Atlas international hotel,Cairo,El Fawala Street,31.2462697,30.0483875,"Atlas international hotel, El Fawala Street, Bab al Shariyah, Cairo, 11518, Egypt","['accommodation', 'accommodation.hotel']",0
Atta,Luxor,Al Qarnh Road,32.6310783,25.7077968,"Atta, Al Qarnh Road, Al Baairat Village, 85958, Egypt","['commercial', 'commercial.food_and_drink', 'commercial.food_and_drink.bakery']",0
Atta,Luxor,Al Qarnh Road,32.6310783,25.7077968,"Atta, Al Qarnh Road, Al Baairat Village, 85958, Egypt","['commercial', 'commercial.food_and_drink', 'commercial.food_and_drink.bakery']",0
Auntie Loulou,Cairo,Street 9,31.2633854,29.9536455,"Auntie Loulou, 47 Street 9, Ma‘di Al Khahiri, Cairo, 11728, Egypt","['catering', 'catering.cafe', 'catering.cafe.ice_cream', 'catering.ice_cream']",0
